oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,municipio,precio_m2
amatista sabalo tower,2324528.0,,2.0,2.0,23.2631137,-106.4608453,easybroker,2024-09-02 12:27:21.140990,mazatlan,
adora  estrena depa en mazatlan,2129000.0,,,2.0,23.2760263,-106.4279656,easybroker,2024-09-02 12:27:21.140990,mazatlan,
villa vicario,4003464.0,,,2.0,23.2000684,-106.4214583,easybroker,2024-09-02 12:27:21.140990,mazatlan,
peninsula ii,7000000.0,,2.0,2.0,23.3001327,-106.4824083,easybroker,2024-09-02 12:27:21.140990,mazatlan,
turquesa mazatlan,2538000.0,,2.0,2.0,23.2744621,-106.4420782,easybroker,2024-09-02 12:27:21.140990,mazatlan,
cuenta,2802399.0,,2.0,2.0,23.282586,-106.4694942,easybroker,2024-09-02 12:27:21.140990,mazatlan,
aldea  ananta,6814500.0,,2.0,2.0,23.3134849,-106.4772934,easybroker,2024-09-02 12:27:21.140990,mazatlan,
torre negra nereo,3200000.0,,2.0,2.0,23.2171328,-106.4178886,easybroker,2024-09-02 12:27:21.140990,mazatlan,
palmas verdes,3290000.0,,,2.0,23.2171328,-106.4178886,easybroker,2024-09-02 12:27:21.140990,mazatlan,
condominios jade beach,3630000.0,,2.0,2.0,23.3134849,-106.4772934,easybroker,2024-09-02 12:27:21.140990,mazatlan,
santorini residencial,548800.0,,,,23.2494148,-106.4111425,easybroker,2024-09-02 12:27:21.140990,mazatlan,
departamentos en venta benavides,1800000.0,80.0,2.0,2.0,23.251097,-106.4250282,easybroker,2024-09-02 12:27:21.140990,mazatlan,22500.0
casa en venta en villa marina,3950000.0,150.0,2.0,3.0,23.2901102,-106.4708856,easybroker,2024-09-02 12:27:21.140990,mazatlan,26333.333333333332
casa en venta marina campo de golf mazatlan sinaloa,23000000.0,520.0,4.0,4.0,23.2852002,-106.4576653,easybroker,2024-09-02 12:27:21.140990,mazatlan,44230.769230769234
casa en venta en libertad de expresion a una cuadra de la avenida,1880000.0,140.0,3.0,3.0,23.2587851,-106.4383787,easybroker,2024-09-02 12:27:21.140990,mazatlan,13428.57142857143
condos palmaria loft,1500000.0,,,2.0,23.2362363,-106.4059901,easybroker,2024-09-02 12:27:21.140990,mazatlan,
cordoba tower,3346000.0,,2.0,2.0,23.2208316,-106.4195648,easybroker,2024-09-02 12:27:21.140990,mazatlan,
aura viviendas,2830000.0,,,2.0,23.2161404,-106.4183368,easybroker,2024-09-02 12:27:21.140990,mazatlan,
valterra fraccionamiento,270400.0,,,,23.3177623,-106.3868538,easybroker,2024-09-02 12:27:21.140990,mazatlan,
punta sabalo,3848000.0,,2.0,2.0,23.2693327,-106.4445612,easybroker,2024-09-02 12:27:21.140990,mazatlan,
la florida,750000.0,,,,23.2659343,-106.4090072,easybroker,2024-09-02 12:27:21.140990,mazatlan,
venta casa en col. juarez es solo contado y guste invertir,980000.0,104.0,,,23.2305659,-106.405463,easybroker,2024-09-02 12:27:21.140990,mazatlan,9423.076923076924
gran oportunidad casa en venta en mazatlan,2940000.0,259.0,2.0,3.0,23.2302896,-106.4065652,easybroker,2024-09-02 12:27:21.140990,mazatlan,11351.351351351352
casa en venta en villas del rey,1550000.0,90.0,,2.0,23.2456928,-106.3986298,easybroker,2024-09-02 12:27:21.140990,mazatlan,17222.222222222223
casa en venta en villa galaxia,2290000.0,125.0,,3.0,23.239943,-106.4118786,easybroker,2024-09-02 12:27:21.140990,mazatlan,18320.0
lago residencial,928200.0,136.0,,,23.2929536457,-106.4426279366,easybroker,2024-09-02 12:27:21.140990,mazatlan,6825.0
condominio en venta en punta del sol,3180509.0,47.86,,,23.3134849,-106.4772934,easybroker,2024-09-02 12:27:21.140990,mazatlan,66454.42958629335
casa en venta en real del valle,3950000.0,167.0,2.0,3.0,23.2780081,-106.427209,easybroker,2024-09-02 12:27:21.140990,mazatlan,23652.694610778442
casa en venta en lomas de mazatlan,5980000.0,265.0,2.0,3.0,23.2443066,-106.4429094,easybroker,2024-09-02 12:27:21.140990,mazatlan,22566.037735849055
condominio en venta en dbarak lofts,3304476.0,69.0,2.0,2.0,23.2471902,-106.4504436,easybroker,2024-09-02 12:27:21.140990,mazatlan,47890.95652173913
condominio en venta en arcangel distrito residencial,3450000.0,110.0,2.0,3.0,23.2790771,-106.4216451,easybroker,2024-09-02 12:27:21.140990,mazatlan,31363.636363636364
condominio en venta en punta del sol,5394584.0,108.12,2.0,2.0,23.3214888766,-106.4784085726,easybroker,2024-09-02 12:27:21.140990,mazatlan,49894.4136145024
casa en venta en sonterra residencial,4599000.0,160.0,3.0,3.0,23.2906871184,-106.4396452556,easybroker,2024-09-02 12:27:21.140990,mazatlan,28743.75
departamento en venta en arcangel distrito residencial,1990000.0,55.0,,2.0,23.2790771,-106.4216451,easybroker,2024-09-02 12:27:21.140990,mazatlan,36181.818181818184
condominio en preventa en luxor,4985000.0,81.64,2.0,2.0,23.2431812,-106.4531714,easybroker,2024-09-02 12:27:21.140990,mazatlan,61060.75453209211
residencia en cerro de la neveria,45000000.0,630.0,5.0,4.0,23.20209589,-106.428922349,easybroker,2024-09-02 12:27:21.140990,mazatlan,71428.57142857143
casa nueva con financiamiento,11000000.0,390.0,5.0,5.0,23.2197509,-106.3982458,easybroker,2024-09-02 12:27:21.140990,mazatlan,28205.128205128207
casa en venta altabrisa residencial mazatlan sinaloa,8400000.0,200.0,4.0,4.0,23.30432,-106.4705067,easybroker,2024-09-02 12:27:21.140990,mazatlan,42000.0
casa en venta en sonterra,6300000.0,268.0,4.0,4.0,23.296697,-106.434527,easybroker,2024-09-02 12:27:21.140990,mazatlan,23507.462686567163
venta de departamento en mazatlan,4000000.0,,,2.0,23.2137304,-106.4212199,easybroker,2024-09-02 12:27:21.140990,mazatlan,
casa en venta mediterraneo,6200000.0,238.0,3.0,3.0,23.2732548,-106.4455998,easybroker,2024-09-02 12:27:21.140990,mazatlan,26050.420168067227
exclusivos condominios en mazalaya beach condos,3500000.0,82.81,,,23.3231855,-106.4786253,easybroker,2024-09-02 12:27:21.140990,mazatlan,42265.426880811494
departamento centro de mazatlan a pasos de olas altas,4000000.0,205.0,3.0,3.0,23.1951129996,-106.4230906963,easybroker,2024-09-02 12:27:21.140990,mazatlan,19512.19512195122
casa en venta   altabrisa residencial,6950000.0,188.0,4.0,4.0,23.3054792,-106.4780693,easybroker,2024-09-02 12:27:21.140990,mazatlan,36968.085106382976
departamento en venta hacienda del seminario mazatlan sinaloa,2550000.0,82.0,2.0,2.0,23.2916492,-106.4225324,easybroker,2024-09-02 12:27:21.140990,mazatlan,31097.560975609755
isla loreto,3650000.0,,2.0,2.0,23.2434437,-106.4523641,easybroker,2024-09-02 12:27:21.140990,mazatlan,
departamento en venta en isla esmeralda,5900000.0,,2.0,2.0,23.2423648,-106.4518813,easybroker,2024-09-02 12:27:21.140990,mazatlan,
milo condominios,1250000.0,,2.0,2.0,23.2786136,-106.4325236,easybroker,2024-09-02 12:27:21.140990,mazatlan,
dbarak lofts,3304476.0,69.0,2.0,2.0,23.2471902,-106.4504436,easybroker,2024-09-02 12:27:21.140990,mazatlan,47890.95652173913
sun  sea living,3300000.0,,2.0,2.0,23.2626504,-106.4627078,easybroker,2024-09-02 12:27:21.140990,mazatlan,
casa en venta en valle del ejido,2260000.0,178.0,2.0,3.0,23.2745341,-106.4022751,easybroker,2024-09-02 12:27:21.140990,mazatlan,12696.629213483146
casa en venta en montecarlo residencial,4500000.0,,2.0,4.0,23.2676367,-106.420815,easybroker,2024-09-02 12:27:21.140990,mazatlan,
casa en venta en sonterra,7010000.0,281.0,4.0,4.0,23.2980674,-106.429527,easybroker,2024-09-02 12:27:21.140990,mazatlan,24946.61921708185
casa en venta paraiso marina l086 mazatlan sinaloa,11550000.0,350.0,4.0,4.0,23.2777811,-106.4522242,easybroker,2024-09-02 12:27:21.140990,mazatlan,33000.0
casa en venta paraiso marina l084 mazatlan sinaloa,11950000.0,350.0,4.0,4.0,23.2777811,-106.4522242,easybroker,2024-09-02 12:27:21.140990,mazatlan,34142.857142857145
vive el sueno costero en marina mazatlan,11600000.0,316.0,3.0,3.0,23.2775658,-106.4527369,easybroker,2024-09-02 12:27:21.140990,mazatlan,36708.86075949367
condominios en venta en las gemelas playa sur,7650000.0,201.5,4.0,4.0,23.1931395,-106.4194464,easybroker,2024-09-02 12:27:21.140990,mazatlan,37965.26054590571
condos de lujo vida azul,2736500.0,,,,23.1956298,-106.4221513,easybroker,2024-09-02 12:27:21.140990,mazatlan,
casa cerro del ovispado,3600000.0,105.5,2.0,2.0,23.1933439,-106.4265408,easybroker,2024-09-02 12:27:21.140990,mazatlan,34123.22274881517
villa antigua tu departamento en el centro de mazatlan,2088000.0,,2.0,2.0,23.2012385,-106.4243297,easybroker,2024-09-02 12:27:21.140990,mazatlan,
vigia sky tower departamentos de lujo frente al mar,6526800.0,,2.0,2.0,23.2281826,-106.4300533,easybroker,2024-09-02 12:27:21.140990,mazatlan,
residencia magenta,3222387.0,,2.0,2.0,23.2219857,-106.4218904,easybroker,2024-09-02 12:27:21.140990,mazatlan,
casa en venta   punta diamante,8450000.0,320.0,3.0,4.0,23.2723639,-106.4563843,easybroker,2024-09-02 12:27:21.140990,mazatlan,26406.25
casa duplex en olimpica,1600000.0,140.0,2.0,2.0,23.2355157,-106.4105933,easybroker,2024-09-02 12:27:21.140990,mazatlan,11428.57142857143
casa en venta en hacienda del seminario,3850000.0,180.0,2.0,3.0,23.2866613,-106.4218302,easybroker,2024-09-02 12:27:21.140990,mazatlan,21388.88888888889
