oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2
departamento en renta en sabalo cerritos,2,1,,23.297083,-106.476847,2024-09-04 11:28:07.772966,lamudi,14000.0,
departamento en renta en sabalo cerritos,2,2,72.0,23.29104041,-106.46971037,2024-09-04 11:28:07.772966,lamudi,13800.0,191.66666666666666
departamento en renta en sabalo cerritos,2,2,85.0,23.262551,-106.465377,2024-09-04 11:28:07.772966,lamudi,18500.0,217.64705882352942
departamento en renta en marina mazatlan,2,2,,23.274365,-106.462157,2024-09-04 11:28:07.772966,lamudi,28000.0,
casa en renta en marina mazatlan,4,4,,23.277441,-106.452278,2024-09-04 11:28:07.772966,lamudi,60000.0,
casa en renta en sabalo cerritos,3,3,,23.287664,-106.467773,2024-09-04 11:28:07.772966,lamudi,24000.0,
casa en renta en sabalo cerritos,3,4,,23.287664,-106.467773,2024-09-04 11:28:07.772966,lamudi,26000.0,
casa en renta en mediterraneo club residencial,3,2,,23.272374,-106.445751,2024-09-04 11:28:07.772966,lamudi,21000.0,
casa en renta en sabalo cerritos,3,2,,23.287671,-106.467829,2024-09-04 11:28:07.772966,lamudi,26000.0,
casa en renta en sabalo cerritos,3,3,,23.305479,-106.478069,2024-09-04 11:28:07.772966,lamudi,32000.0,
casa en renta en sabalo cerritos,3,3,,23.287472,-106.468857,2024-09-04 11:28:07.772966,lamudi,26000.0,
casa en renta en sabalo cerritos,4,4,,23.305479,-106.478069,2024-09-04 11:28:07.772966,lamudi,32000.0,
departamento en renta en marina mazatlan,4,4,,23.289539,-106.45938,2024-09-04 11:28:07.772966,lamudi,30000.0,
casa en renta en sabalo cerritos,3,2,,23.297083,-106.476847,2024-09-04 11:28:07.772966,lamudi,18000.0,
departamento en renta en marina mazatlan,2,2,,23.269446,-106.452461,2024-09-04 11:28:07.772966,lamudi,16000.0,
departamento en renta en sabalo country club,3,3,,23.266064,-106.462304,2024-09-04 11:28:07.772966,lamudi,35000.0,
departamento en renta en ciudad de mazatlan,2,2,,23.22088,-106.404386,2024-09-04 11:28:07.772966,lamudi,20000.0,
casa en renta en sabalo cerritos,3,4,,23.297321,-106.477756,2024-09-04 11:28:07.772966,lamudi,23000.0,
casa en renta en mediterraneo club residencial,3,2,,23.272374,-106.445751,2024-09-04 11:28:07.772966,lamudi,30000.0,
casa en renta en mazatlan,2,1,,23.296231,-106.434812,2024-09-04 11:28:07.772966,lamudi,20000.0,
departamento en renta en lomas de mazatlan,2,2,,23.240609,-106.446282,2024-09-04 11:28:07.772966,lamudi,19000.0,
casa en renta en sabalo country club,4,3,,23.262684,-106.462673,2024-09-04 11:28:07.772966,lamudi,28000.0,
casa en renta en el cid,3,3,,23.252974,-106.45468,2024-09-04 11:28:07.772966,lamudi,43000.0,
departamento en renta en marina mazatlan,3,2,,23.274163,-106.462123,2024-09-04 11:28:07.772966,lamudi,30000.0,
departamento en renta en marina mazatlan,3,3,,23.270913,-106.456722,2024-09-04 11:28:07.772966,lamudi,26000.0,
departamento en renta en las gaviotas,3,2,,23.246281,-106.451998,2024-09-04 11:28:07.772966,lamudi,20000.0,
departamento en renta en sabalo country club,1,1,,23.262684,-106.462673,2024-09-04 11:28:07.772966,lamudi,16000.0,
departamento en renta en marina mazatlan,3,3,,23.271305,-106.453069,2024-09-04 11:28:07.772966,lamudi,30000.0,
departamento en renta en telleria,2,2,,23.231478,-106.433932,2024-09-04 11:28:07.772966,lamudi,35000.0,
departamento en renta en cerritos resort,2,2,114.0,23.276032,-106.4663,2024-09-04 11:28:07.772966,lamudi,36000.0,315.7894736842105
departamento en renta en marina mazatlan,2,2,,23.274709,-106.46548,2024-09-04 11:28:07.772966,lamudi,20000.0,
departamento en renta en cerritos resort,2,2,,23.27751,-106.46698,2024-09-04 11:28:07.772966,lamudi,45000.0,
casa en renta en el cid,4,4,450.0,23.257136,-106.450612,2024-09-04 11:28:07.772966,lamudi,55000.0,122.22222222222223
casa en renta en el cid,3,3,300.0,23.255278,-106.450894,2024-09-04 11:28:07.772966,lamudi,45000.0,150.0
casa en renta en sabalo country club,3,2,190.0,23.262684,-106.462673,2024-09-04 11:28:07.772966,lamudi,18000.0,94.73684210526316
casa en renta en sabalo cerritos,4,4,232.0,23.298981,-106.478335,2024-09-04 11:28:07.772966,lamudi,40000.0,172.41379310344828
casa en renta en real del valle,3,2,190.0,23.285468,-106.432864,2024-09-04 11:28:07.772966,lamudi,20000.0,105.26315789473684
casa en renta en marina mazatlan,3,3,,23.296697,-106.434527,2024-09-04 11:28:07.772966,lamudi,27000.0,
casa en renta en marina mazatlan,3,4,,23.296697,-106.434527,2024-09-04 11:28:07.772966,lamudi,27000.0,
casa en renta en sabalo cerritos,3,3,,23.287671,-106.467829,2024-09-04 11:28:07.772966,lamudi,20000.0,
casa en renta en el cid,4,3,,23.255278,-106.450894,2024-09-04 11:28:07.772966,lamudi,45000.0,
casa en renta en sabalo cerritos,3,3,,23.287671,-106.467829,2024-09-04 11:28:07.772966,lamudi,21500.0,
casa en renta en el cid,4,2,,23.255278,-106.450894,2024-09-04 11:28:07.772966,lamudi,60000.0,
casa en renta en punta diamante,3,4,,23.275364,-106.453384,2024-09-04 11:28:07.772966,lamudi,55000.0,
casa en renta en mediterraneo club residencial,3,2,240.0,23.272374,-106.445751,2024-09-04 11:28:07.772966,lamudi,25000.0,104.16666666666667
