oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,municipio,precio_m2
departamento en renta en planta alta amueblado en gaviotas,17000.0,,,2.0,23.2467778599,-106.4503957166,easybroker,2024-09-04 11:20:59.743440,mazatlan,
departamento en renta a 4 cuadras de la playa  en las gaviotas,18000.0,,2.0,2.0,23.2489416291,-106.4504599547,easybroker,2024-09-04 11:20:59.743440,mazatlan,
penthouse en renta en sabalo country a 3 minutos de la playa,30000.0,,2.0,3.0,23.2645108601,-106.4611031064,easybroker,2024-09-04 11:20:59.743440,mazatlan,
casa en renta en almar residencial a 5 minutos de la playa en cerritos,18000.0,,2.0,2.0,23.2973214,-106.4777561,easybroker,2024-09-04 11:20:59.743440,mazatlan,
casa amueblada real del valle,13500.0,96.0,,2.0,23.2886969,-106.4295336,easybroker,2024-09-04 11:20:59.743440,mazatlan,140.625
departamento en renta en marriot courtyard,48000.0,,2.0,2.0,23.2429238,-106.4533857,easybroker,2024-09-04 11:20:59.743440,mazatlan,
departamento en renta con amplia alberca y a 5 minutos de la playa en cerritos,18000.0,,2.0,3.0,23.2911452,-106.4700084,easybroker,2024-09-04 11:20:59.743440,mazatlan,
departamento en renta de lujo con laguna y alberca semi olimpica,25000.0,,2.0,2.0,23.2889724157,-106.4421550763,easybroker,2024-09-04 11:20:59.743440,mazatlan,
departamento de lujo en renta con vista panoramica y amplia terraza en el maleco,35000.0,220.0,3.0,4.0,23.2177977148,-106.4215030652,easybroker,2024-09-04 11:20:59.743440,mazatlan,159.0909090909091
departamento en almarena residencial en mazatlan sinaloa,20000.0,85.0,2.0,2.0,23.3048952,-106.4855562,easybroker,2024-09-04 11:20:59.743440,mazatlan,235.2941176470588
casa en almarena residencial mazatlan,20000.0,129.0,2.0,3.0,23.2022625,-106.4287602,easybroker,2024-09-04 11:20:59.743440,mazatlan,155.03875968992247
departamento en renta con vista al mar en el malecon colonia,49583.75,,2.0,2.0,23.2315417625,-106.433825137,easybroker,2024-09-04 11:20:59.743440,mazatlan,
dpto en la marina con alberca en renta,24000.0,140.0,3.0,3.0,23.2712328149,-106.4525091648,easybroker,2024-09-04 11:20:59.743440,mazatlan,171.42857142857142
venta casa en col rincon de urias super economica,2000.0,112.0,,,23.2416005,-106.3674319,easybroker,2024-09-04 11:20:59.743440,mazatlan,17.857142857142858
departamento de lujo en renta con alberca elevador y en esquina en el toreo,20000.0,,3.0,2.0,23.2461272436,-106.4392805136,easybroker,2024-09-04 11:20:59.743440,mazatlan,
departamento de lujo en renta con alberca elevador en el toreo,20000.0,,3.0,2.0,23.2461863907,-106.4393556087,easybroker,2024-09-04 11:20:59.743440,mazatlan,
venta de condominios en zona exclusiva en cerritos mazatlan,6000.0,80.4,,2.0,23.2626504,-106.4627078,easybroker,2024-09-04 11:20:59.743440,mazatlan,74.62686567164178
departamento en renta en costa veleros,22000.0,,2.0,2.0,23.2694461,-106.452461,easybroker,2024-09-04 11:20:59.743440,mazatlan,
condominio en renta en paradise bay grand mazatlan,30000.0,126.0,2.0,2.0,23.2288987,-106.4273366,easybroker,2024-09-04 11:20:59.743440,mazatlan,238.0952380952381
condominio en renta con vista al mar,35000.0,118.0,2.0,2.0,23.2740713098,-106.4618969275,easybroker,2024-09-04 11:20:59.743440,mazatlan,296.6101694915254
departamento en renta en sabalo country a 3 minutos de la playa,17000.0,,2.0,2.0,23.2645897119,-106.4611029945,easybroker,2024-09-04 11:20:59.743440,mazatlan,
departamento en renta en costa veleros con hermosa vista a la marina,22000.0,,2.0,2.0,23.2694461,-106.452461,easybroker,2024-09-04 11:20:59.743440,mazatlan,
departamento en frente de la playa en cerritos mazatlan,60000.0,,3.0,2.0,23.2774713,-106.4671163,easybroker,2024-09-04 11:20:59.743440,mazatlan,
departamento amueblado en renta en mazatlan sinaloa,30000.0,90.0,2.0,2.0,23.2216585,-106.4207116,easybroker,2024-09-04 11:20:59.743440,mazatlan,333.3333333333333
casa en renta  amueblada en altabrisa,30000.0,,2.0,3.0,23.3054792,-106.4780693,easybroker,2024-09-04 11:20:59.743440,mazatlan,
departamento en renta en costa veleros,25000.0,,2.0,2.0,23.2693561,-106.4525651,easybroker,2024-09-04 11:20:59.743440,mazatlan,
departamento en renta en sabalo muy cerca del mar,12500.0,,,,23.2636583,-106.4593916,easybroker,2024-09-04 11:20:59.743440,mazatlan,
departamento en cerro del vigia en el centro de mazatlan.,20000.0,,2.0,2.0,23.1899282,-106.42362,easybroker,2024-09-04 11:20:59.743440,mazatlan,
departamento en renta en playa escondida cerritos,60000.0,,,,23.3048952,-106.4855562,easybroker,2024-09-04 11:20:59.743440,mazatlan,
departamento en renta en gavias grand luxury,30000.0,,2.0,2.0,23.2775263,-106.4672059,easybroker,2024-09-04 11:20:59.743440,mazatlan,
departamento en renta en the one mazatlan,25000.0,,2.0,2.0,23.2325328,-106.434951,easybroker,2024-09-04 11:20:59.743440,mazatlan,
departamento en renta en puesta de sol,65000.0,,2.0,3.0,23.2749581,-106.4476581,easybroker,2024-09-04 11:20:59.743440,mazatlan,
departamento en renta gavias grand mazatlan,40000.0,,3.0,3.0,23.276905,-106.4674987,easybroker,2024-09-04 11:20:59.743440,mazatlan,
departamento en renta en gavias grand luxury cerritos,35000.0,,,2.0,23.2494148,-106.4111425,easybroker,2024-09-04 11:20:59.743440,mazatlan,
departamento en renta en torre eme,35000.0,102.0,2.0,2.0,23.2183102,-106.4220725,easybroker,2024-09-04 11:20:59.743440,mazatlan,343.1372549019608
renta casa en excelente zona cerritos,4500.0,152.0,2.0,3.0,23.290961,-106.4768466,easybroker,2024-09-04 11:20:59.743440,mazatlan,29.605263157894736
departamento en renta sobre malecon de mazatlan vista al mar.,40000.0,,2.0,2.0,23.2280749,-106.4295873,easybroker,2024-09-04 11:20:59.743440,mazatlan,
