oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2
casa en venta en marina mazatlan,4,4,283.0,23.277441,-106.452278,2024-09-02 13:00:56.917298,lamudi,8950000.0,31625.441696113074
casa en venta en mazatlan,3,3,206.0,23.296231,-106.434812,2024-09-02 13:00:56.917298,lamudi,5500000.0,26699.02912621359
casa en venta en mazatlan,4,3,220.0,23.296231,-106.434812,2024-09-02 13:00:56.917298,lamudi,5600000.0,25454.545454545456
casa en venta en mazatlan,4,3,173.0,23.296231,-106.434812,2024-09-02 13:00:56.917298,lamudi,4250000.0,24566.473988439306
casa en venta en palmas del sol,4,3,200.0,23.262114,-106.457888,2024-09-02 13:00:56.917298,lamudi,5200000.0,26000.0
casa en venta en sabalo cerritos,3,2,269.0,23.305479,-106.478069,2024-09-02 13:00:56.917298,lamudi,6600000.0,24535.31598513011
casa en venta en real del valle,4,4,208.0,23.287767,-106.433434,2024-09-02 13:00:56.917298,lamudi,3900000.0,18750.0
departamento en venta en centro,2,2,95.0,23.205341,-106.428323,2024-09-02 13:00:56.917298,lamudi,6615000.0,69631.57894736843
casa en venta en mazatlan,3,3,160.0,23.296231,-106.434812,2024-09-02 13:00:56.917298,lamudi,4190000.0,26187.5
casa en venta en real del valle,3,3,194.0,23.286094,-106.425514,2024-09-02 13:00:56.917298,lamudi,4320000.0,22268.0412371134
casa en venta en ciudad de mazatlan,2,3,181.0,23.296839,-106.430634,2024-09-02 13:00:56.917298,lamudi,4499000.0,24856.35359116022
departamento en venta en marina mazatlan,,,,23.2716689,-106.4597284,2024-09-02 13:00:56.917298,lamudi,5592000.0,
casa en venta en mazatlan,3,2,178.0,23.296231,-106.434812,2024-09-02 13:00:56.917298,lamudi,4100000.0,23033.70786516854
casa en venta en sabalo cerritos,3,2,230.0,23.305479,-106.478069,2024-09-02 13:00:56.917298,lamudi,6450000.0,28043.478260869564
casa en venta en marina mazatlan,,5,530.0,23.271669,-106.459728,2024-09-02 13:00:56.917298,lamudi,18000000.0,33962.264150943396
casa en venta en ciudad de mazatlan,3,2,204.0,23.296839,-106.430634,2024-09-02 13:00:56.917298,lamudi,4690000.0,22990.196078431374
