oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2,cvegeo,cve_ent,cve_mun,nom_mun,tipo
departamento en renta en sabalo cerritos,2.0,1.0,,23.297083,-106.476847,2024-09-04 11:28:07.772966,lamudi,14000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo cerritos,2.0,2.0,72.0,23.29104041,-106.46971037,2024-09-04 11:28:07.772966,lamudi,13800.0,191.66666666666663,25012,25,012,Mazatlán,renta
departamento en renta en sabalo cerritos,2.0,2.0,85.0,23.262551,-106.465377,2024-09-04 11:28:07.772966,lamudi,18500.0,217.64705882352945,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,2.0,2.0,,23.274365,-106.462157,2024-09-04 11:28:07.772966,lamudi,28000.0,,25012,25,012,Mazatlán,renta
casa en renta en marina mazatlan,4.0,4.0,,23.277441,-106.452278,2024-09-04 11:28:07.772966,lamudi,60000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,3.0,,23.287664,-106.467773,2024-09-04 11:28:07.772966,lamudi,24000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,4.0,,23.287664,-106.467773,2024-09-04 11:28:07.772966,lamudi,26000.0,,25012,25,012,Mazatlán,renta
casa en renta en mediterraneo club residencial,3.0,2.0,,23.272374,-106.445751,2024-09-04 11:28:07.772966,lamudi,21000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,2.0,,23.287671,-106.467829,2024-09-04 11:28:07.772966,lamudi,26000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,3.0,,23.305479,-106.478069,2024-09-04 11:28:07.772966,lamudi,32000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,3.0,,23.287472,-106.468857,2024-09-04 11:28:07.772966,lamudi,26000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,4.0,4.0,,23.305479,-106.478069,2024-09-04 11:28:07.772966,lamudi,32000.0,,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,4.0,4.0,,23.289539,-106.45938,2024-09-04 11:28:07.772966,lamudi,30000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,2.0,,23.297083,-106.476847,2024-09-04 11:28:07.772966,lamudi,18000.0,,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,2.0,2.0,,23.269446,-106.452461,2024-09-04 11:28:07.772966,lamudi,16000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo country club,3.0,3.0,,23.266064,-106.462304,2024-09-04 11:28:07.772966,lamudi,35000.0,,25012,25,012,Mazatlán,renta
departamento en renta en ciudad de mazatlan,2.0,2.0,,23.22088,-106.404386,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,4.0,,23.297321,-106.477756,2024-09-04 11:28:07.772966,lamudi,23000.0,,25012,25,012,Mazatlán,renta
casa en renta en mediterraneo club residencial,3.0,2.0,,23.272374,-106.445751,2024-09-04 11:28:07.772966,lamudi,30000.0,,25012,25,012,Mazatlán,renta
casa en renta en mazatlan,2.0,1.0,,23.296231,-106.434812,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
departamento en renta en lomas de mazatlan,2.0,2.0,,23.240609,-106.446282,2024-09-04 11:28:07.772966,lamudi,19000.0,,25012,25,012,Mazatlán,renta
casa en renta en sabalo country club,4.0,3.0,,23.262684,-106.462673,2024-09-04 11:28:07.772966,lamudi,28000.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,3.0,3.0,,23.252974,-106.45468,2024-09-04 11:28:07.772966,lamudi,43000.0,,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,3.0,2.0,,23.274163,-106.462123,2024-09-04 11:28:07.772966,lamudi,30000.0,,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,3.0,3.0,,23.270913,-106.456722,2024-09-04 11:28:07.772966,lamudi,26000.0,,25012,25,012,Mazatlán,renta
departamento en renta en las gaviotas,3.0,2.0,,23.246281,-106.451998,2024-09-04 11:28:07.772966,lamudi,20000.0,,25012,25,012,Mazatlán,renta
