oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2,cvegeo,cve_ent,cve_mun,nom_mun
departamento en venta en telleria,2.0,2.0,96.0,23.227437,-106.42926,2024-09-02 13:00:56.917298,lamudi,6000000.0,62500.0,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,2.0,1.0,124.0,23.292164,-106.437983,2024-09-02 13:00:56.917298,lamudi,3470000.0,27983.870967741936,25012,25,012,Mazatlán
departamento en venta en cerritos resort,2.0,2.0,190.0,23.3048952,-106.4855562,2024-09-02 13:00:56.917298,lamudi,8500000.0,44736.84210526316,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,3.0,2.0,166.0,23.291368,-106.438706,2024-09-02 13:00:56.917298,lamudi,5053844.0,30444.84337349397,25012,25,012,Mazatlán
casa en venta en morelos,2.0,1.0,104.0,23.2402497,-106.4056221,2024-09-02 13:00:56.917298,lamudi,1850000.0,17788.46153846154,25012,25,012,Mazatlán
departamento en venta en real del valle,2.0,2.0,86.0,23.2863833,-106.4302811,2024-09-02 13:00:56.917298,lamudi,2100000.0,24418.60465116279,25012,25,012,Mazatlán
departamento en venta en telleria,2.0,2.0,122.0,23.2271,-106.42478,2024-09-02 13:00:56.917298,lamudi,8000000.0,65573.77049180328,25012,25,012,Mazatlán
casa en venta en real del valle,3.0,3.0,203.0,23.2863833,-106.4302811,2024-09-02 13:00:56.917298,lamudi,4950000.0,24384.23645320197,25012,25,012,Mazatlán
casa en fraccionamiento en venta en el cid,3.0,3.0,312.0,23.2552777,-106.4508938,2024-09-02 13:00:56.917298,lamudi,12950000.0,41506.41025641026,25012,25,012,Mazatlán
casa en venta en valle del ejido,2.0,1.0,,23.2811526,-106.4030033,2024-09-02 13:00:56.917298,lamudi,850000.0,,25012,25,012,Mazatlán
casa en venta en playa azul fovissste,2.0,2.0,,23.2447109,-106.3909018,2024-09-02 13:00:56.917298,lamudi,1850000.0,,25012,25,012,Mazatlán
casa en venta en el encanto,3.0,2.0,225.0,23.2589605,-106.4577248,2024-09-02 13:00:56.917298,lamudi,6600000.0,29333.33333333333,25012,25,012,Mazatlán
casa en venta en ciudad de mazatlan,3.0,2.0,,23.2866613,-106.4218302,2024-09-02 13:00:56.917298,lamudi,2800000.0,,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,2.0,2.0,84.0,23.27526,-106.45648,2024-09-02 13:00:56.917298,lamudi,3344465.0,39815.05952380953,25012,25,012,Mazatlán
casa en venta en real del valle,3.0,,200.0,23.2863833,-106.4302811,2024-09-02 13:00:56.917298,lamudi,4200000.0,21000.0,25012,25,012,Mazatlán
casa en fraccionamiento en venta en marina mazatlan,4.0,4.0,207.0,23.2929564,-106.4564725,2024-09-02 13:00:56.917298,lamudi,7780000.0,37584.54106280193,25012,25,012,Mazatlán
casa en venta en cerritos resort,3.0,3.0,285.0,23.2990776,-106.4836574,2024-09-02 13:00:56.917298,lamudi,14500000.0,50877.19298245614,25012,25,012,Mazatlán
casa en venta en ferrocarrilera,4.0,3.0,,23.2216585,-106.4207116,2024-09-02 13:00:56.917298,lamudi,6300000.0,,25012,25,012,Mazatlán
casa en fraccionamiento en venta en marina mazatlan,4.0,4.0,,23.2775658,-106.4527369,2024-09-02 13:00:56.917298,lamudi,12650000.0,,25012,25,012,Mazatlán
departamento en venta en sabalo country club,2.0,2.0,,23.2626843,-106.4626734,2024-09-02 13:00:56.917298,lamudi,2990000.0,,25012,25,012,Mazatlán
casa en venta en benito juarez,2.0,1.0,,23.2310997,-106.4067262,2024-09-02 13:00:56.917298,lamudi,1890000.0,,25012,25,012,Mazatlán
departamento en venta en el cid,2.0,2.0,,23.25422,-106.45118,2024-09-02 13:00:56.917298,lamudi,2490000.0,,25012,25,012,Mazatlán
casa en venta en real pacifico,3.0,1.0,,23.2763963,-106.4349268,2024-09-02 13:00:56.917298,lamudi,1995000.0,,25012,25,012,Mazatlán
casa en venta en real del valle,2.0,1.0,157.0,23.2863833,-106.4302811,2024-09-02 13:00:56.917298,lamudi,2595000.0,16528.662420382167,25012,25,012,Mazatlán
departamento en venta en los pinos,2.0,2.0,132.0,23.2065356,-106.4283148,2024-09-02 13:00:56.917298,lamudi,8700000.0,65909.09090909091,25012,25,012,Mazatlán
departamento en venta en los pinos,1.0,1.0,54.0,23.2065356,-106.4283148,2024-09-02 13:00:56.917298,lamudi,3800000.0,70370.37037037036,25012,25,012,Mazatlán
departamento en venta en los pinos,2.0,2.0,124.0,23.2065356,-106.4283148,2024-09-02 13:00:56.917298,lamudi,7200000.0,58064.51612903226,25012,25,012,Mazatlán
departamento en venta en reforma,1.0,1.0,90.0,23.2134566,-106.4207579,2024-09-02 13:00:56.917298,lamudi,6450000.0,71666.66666666667,25012,25,012,Mazatlán
casa en venta en valle del ejido,3.0,2.0,,23.277658,-106.403782,2024-09-02 13:00:56.917298,lamudi,1550000.0,,25012,25,012,Mazatlán
departamento en venta en sabalo cerritos,2.0,2.0,110.0,23.26217,-106.46511,2024-09-02 13:00:56.917298,lamudi,9900000.0,90000.0,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,2.0,2.0,103.0,23.2716689,-106.4597284,2024-09-02 13:00:56.917298,lamudi,4600000.0,44660.19417475728,25012,25,012,Mazatlán
departamento en venta en sabalo country club,1.0,1.0,45.0,23.2626843,-106.4626734,2024-09-02 13:00:56.917298,lamudi,2800000.0,62222.22222222222,25012,25,012,Mazatlán
departamento en venta en villa marina,2.0,2.0,110.0,23.29195900581929,-106.46798270262452,2024-09-02 13:00:56.917298,lamudi,4590000.0,41727.27272727273,25012,25,012,Mazatlán
departamento en venta en sabalo cerritos,2.0,2.0,86.0,23.29199842,-106.46789687,2024-09-02 13:00:56.917298,lamudi,3990000.0,46395.348837209305,25012,25,012,Mazatlán
departamento en venta en sabalo cerritos,1.0,1.0,46.0,23.29205755,-106.46776813,2024-09-02 13:00:56.917298,lamudi,2690000.0,58478.260869565216,25012,25,012,Mazatlán
departamento en venta en playa azul fovissste,2.0,2.0,156.0,23.246437,-106.39185,2024-09-02 13:00:56.917298,lamudi,6500000.0,41666.66666666666,25012,25,012,Mazatlán
departamento en venta en marina real,104.0,2.0,104.0,23.2747317,-106.4592768,2024-09-02 13:00:56.917298,lamudi,6195000.0,59567.307692307695,25012,25,012,Mazatlán
departamento en venta en sabalo country club,2.0,2.0,85.0,23.26236,-106.46121,2024-09-02 13:00:56.917298,lamudi,3800000.0,44705.882352941175,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,2.0,2.0,93.0,23.27715182,-106.46491036,2024-09-02 13:00:56.917298,lamudi,5529000.0,59451.6129032258,25012,25,012,Mazatlán
casa en venta en marina mazatlan,4.0,5.0,366.0,23.2775658,-106.4527369,2024-09-02 13:00:56.917298,lamudi,13900000.0,37978.14207650273,25012,25,012,Mazatlán
penthouse en venta en reforma,3.0,3.0,450.0,23.2133948,-106.4209186,2024-09-02 13:00:56.917298,lamudi,24900000.0,55333.333333333336,25012,25,012,Mazatlán
casa en venta en sabalo cerritos,4.0,3.0,290.0,23.2917003,-106.4744578,2024-09-02 13:00:56.917298,lamudi,10987889.999999998,37889.27586206896,25012,25,012,Mazatlán
departamento en venta en cerritos resort,2.0,2.0,148.0,23.27097,-106.4645014,2024-09-02 13:00:56.917298,lamudi,7305461.999999999,49361.22972972973,25012,25,012,Mazatlán
departamento en venta en real pacifico,2.0,2.0,140.0,23.2763963,-106.4349268,2024-09-02 13:00:56.917298,lamudi,2100000.0,15000.0,25012,25,012,Mazatlán
casa en venta en rincon colonial,2.0,2.0,165.0,23.2475768,-106.4503449,2024-09-02 13:00:56.917298,lamudi,5990000.0,36303.030303030304,25012,25,012,Mazatlán
casa en venta en marina mazatlan,3.0,3.0,220.0,23.2929564,-106.4564725,2024-09-02 13:00:56.917298,lamudi,6170000.0,28045.454545454544,25012,25,012,Mazatlán
casa en venta en real del valle,3.0,2.0,180.0,23.2797795,-106.4306783,2024-09-02 13:00:56.917298,lamudi,4350000.0,24166.666666666668,25012,25,012,Mazatlán
departamento en venta en telleria,3.0,2.0,162.0,23.2348715,-106.4380488,2024-09-02 13:00:56.917298,lamudi,8414150.0,51939.1975308642,25012,25,012,Mazatlán
